job_company,job_education,job_industry,job_listed,job_location,job_name            ,job_persons,job_salary,job_time ,job_year
小药药        ,本科           ,医疗健康        ,C轮        ,北京 朝阳区 望京   ,算法工程师               ,1000-9999人 ,30k-50k   ,发布于02月21日,3-5年
达达-京东到家    ,硕士           ,O2O         ,D轮及以上     ,北京 大兴区 亦庄   ,算法工程师               ,1000-9999人 ,25k-50k   ,发布于昨天    ,3-5年
今日头条       ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,算法工程师               ,10000人以上   ,30k-50k   ,发布于02月15日,3-5年
微软中国       ,学历不限         ,计算机软件       ,不需要融资     ,北京 海淀区 中关村  ,[社招] 算法工程师          ,10000人以上   ,20k-40k   ,发布于昨天    ,经验不限
闪送科技       ,本科           ,互联网         ,D轮及以上     ,北京 海淀区 上地   ,语音算法工程师             ,500-999人   ,20k-40k   ,发布于02月26日,3-5年
随行付金科      ,本科           ,互联网金融       ,未融资       ,北京 海淀区 中关村  ,算法工程师               ,100-499人   ,25k-40k   ,发布于02月23日,3-5年
泛阿网络       ,硕士           ,互联网         ,A轮        ,北京 朝阳区 小关   ,算法工程师               ,100-499人   ,20k-35k   ,发布于12:17 ,经验不限
物联顺通       ,硕士           ,物流/仓储       ,不需要融资     ,北京 朝阳区 酒仙桥  ,算法工程师               ,100-499人   ,20k-40k   ,发布于02月17日,3-5年
旷视科技       ,硕士           ,移动互联网       ,C轮        ,北京 海淀区 中关村  ,算法工程师               ,1000-9999人 ,30k-50k   ,发布于02月19日,1-3年
去哪儿        ,本科           ,互联网         ,不需要融资     ,北京 海淀区 西三旗  ,高级搜索算法工程师           ,1000-9999人 ,20k-40k   ,发布于02月21日,1-3年
华清科盛       ,本科           ,智能硬件        ,A轮        ,北京 大兴区 亦庄   ,算法工程师               ,100-499人   ,25k-35k   ,发布于02月23日,经验不限
锋巢信息       ,本科           ,互联网         ,A轮        ,北京 朝阳区 望京   ,算法工程师               ,100-499人   ,25k-50k   ,发布于02月21日,3-5年
华为         ,本科           ,计算机软件       ,不需要融资     ,北京          ,Camera算法工程师         ,10000人以上   ,25k-40k   ,发布于昨天    ,3-5年
思源互联科技     ,本科           ,移动互联网       ,不需要融资     ,北京 朝阳区 望京   ,算法工程师               ,1000-9999人 ,30k-50k   ,发布于昨天    ,5-10年
魔力耳朵       ,本科           ,互联网         ,B轮        ,北京 朝阳区 三元桥  ,算法工程师               ,500-999人   ,40k-60k   ,发布于02月22日,3-5年
