行号 ,job_company,job_name            ,job_salary
115,腾讯         ,TEG13-语音合成算法工程师（北京） ,30k-35k
116,神州优车集团     ,算法工程师(智能调度/风控)      ,20k-40k
117,缙铖医疗       ,视觉算法工程师             ,15k-30k
118,量化派        ,高级风控算法工程师           ,20k-30k
119,锦仕咨询       ,知识图谱算法工程师           ,20k-40k
120,首约科技       ,数据挖掘算法工程师           ,25k-50k
121,恒亚通        ,资深算法工程师             ,20k-35k
122,普强信息       ,语音算法工程师             ,20k-33k
123,映客直播       ,风控算法工程师             ,25k-40k
124,君正集成       ,音频算法工程师             ,10k-15k
125,一起教育科技     ,计算机视觉算法工程师          ,25k-50k
126,地平线        ,标定融合算法工程师           ,20k-40k
127,VIPKID     ,资深算法工程师（自适应学习）J10262,30k-50k
128,亿阳信通       ,医疗影像算法工程师           ,15k-30k
129,茄子快传       ,广告算法工程师             ,25k-50k
130,鑫瑞天翔       ,语音算法工程师             ,35k-50k
131,云知声        ,高级算法工程师(J10315)     ,15k-25k
132,超思电子       ,高级算法工程师             ,25k-50k
133,青萌数海科技     ,算法工程师               ,15k-25k
134,云天弈        ,高级算法工程师             ,23k-40k
135,利卓创新       ,算法工程师               ,15k-30k
136,三一重能       ,风电-控制算法工程师          ,10k-20k
137,小药药        ,算法工程师（策略、排序方向）      ,20k-35k
138,同程艺龙       ,算法工程师-数据部           ,25k-45k
139,秒针系统       ,运筹优化算法工程师           ,15k-25k
140,微店         ,风控算法工程师             ,30k-60k
141,北京爱欣文化发展...,算法工程师               ,28k-40k
142,联合创展       ,风控算法工程师             ,25k-50k
143,vivo       ,人工智能算法工程师           ,25k-35k
144,OKCoin     ,风控算法工程师             ,30k-40k
145,京东数字科技     ,数据算法工程师             ,30k-50k
146,爱康国宾       ,NLP算法工程师            ,35k-45k
147,随行付金科      ,算法工程师               ,20k-30k
148,今日头条       ,算法工程师--流调度方向        ,25k-50k
149,中科创星       ,软件/算法工程师            ,25k-30k
150,深度智耀       ,算法/高级算法工程师          ,20k-40k
151,腾讯         ,TEG13-计算机视觉算法工程师（深圳）,30k-60k
152,踏歌智行       ,点云算法工程师             ,25k-40k
153,北京灵思创奇科技...,飞控算法工程师             ,11k-20k
154,三一集团       ,定位与高精地图算法工程师        ,20k-40k
155,丽晶美成       ,高级路径规划与决策算法工程师      ,35k-60k
156,任意门科技      ,图像图像高级算法工程师         ,25k-50k
157,蔚蓝鬼计       ,广告算法工程师             ,60k-90k
158,神州泰岳       ,高级算法工程师             ,15k-25k
159,精诊科技       ,算法工程师               ,15k-30k
160,阿里巴巴高德     ,数据挖掘算法工程师/专家        ,35k-50k
161,好好住        ,算法工程师（用户画像）         ,20k-40k
162,京东数字科技     ,数据挖掘算法工程师           ,20k-40k
163,天学网        ,NLP算法工程师（中高级）       ,20k-40k
164,爱医声        ,算法工程师               ,15k-30k
165,羿娲科技       ,视觉算法工程师             ,20k-40k
166,快手         ,图像处理算法工程师 - 美颜滤镜方向  ,30k-60k
167,财税智库       ,算法工程师               ,30k-35k
168,DNV音乐集团    ,豆瓣FM算法工程师           ,20k-40k
169,居理新房       ,高级/资深算法工程师（ASR方向）   ,40k-60k
170,云数启源       ,计算机视觉算法工程师          ,35k-45k
171,iHandy     ,AI算法工程师             ,20k-40k
172,鑫互联        ,机器学习算法工程师           ,30k-40k
173,宽凳科技       ,Slam算法工程师           ,30k-60k
174,普强信息       ,全文检索算法工程师           ,20k-40k
175,聚思致远教育     ,EEG脑电算法工程师          ,10k-15k
176,智行者科技      ,激光SLAM算法工程师         ,20k-40k
177,惠通嘉华       ,NLP算法工程师            ,30k-60k
178,SENSORO    ,高级通信算法工程师           ,25k-40k
179,亿阳信通       ,深度学习/图像 算法工程师       ,30k-45k
180,居理新房       ,高级NLP算法工程师          ,30k-60k
181,勤天美信       ,UWB算法工程师            ,20k-40k
182,今日头条       ,机器学习算法工程师-反作弊       ,30k-60k
183,海云数据       ,机器学习算法工程师           ,25k-40k
184,启迪云控       ,深度学习算法工程师（机器视觉方向）   ,15k-25k
185,京东数字科技     ,机器人视觉算法工程师/专家       ,20k-40k
186,威马汽车       ,路径规划与决策算法工程师        ,24k-40k
187,小药药        ,算法工程师（用户画像方向）       ,20k-35k
188,分享动力       ,算法工程师               ,40k-70k
189,洛伦兹        ,算法工程师               ,20k-30k
190,蚂蚁金服       ,高级算法工程师/算法专家        ,20k-40k
191,北京市城果科技有...,AI算法工程师             ,20k-40k
192,用友网络科技     ,NLP算法工程师实习生         ,2k-4k
193,联合创展       ,算法工程师（nlp方向）        ,30k-60k
194,爱康国宾       ,模型优化算法工程师           ,35k-45k
195,跟谁学        ,高级数据挖掘算法工程师         ,30k-50k
196,启元世界       ,算法工程师               ,25k-50k
