job_company,job_education,job_industry,job_listed,job_location,job_name       ,job_persons,job_salary,job_time ,job_year
中科软        ,本科           ,互联网         ,已上市       ,北京 丰台区 六里桥  ,Java           ,10000人以上   ,5k-10k    ,发布于11:14 ,1-3年
软通动力信息技术集团 ,本科           ,计算机软件       ,不需要融资     ,北京 顺义区 马坡   ,Java           ,10000人以上   ,15k-18k   ,发布于02月26日,3-5年
VIPKID     ,本科           ,移动互联网       ,D轮及以上     ,北京 朝阳区 十里堡  ,Java           ,10000人以上   ,15k-30k   ,发布于02月26日,5-10年
蚂蚁金服       ,本科           ,互联网金融       ,C轮        ,北京 朝阳区 朝外   ,Java           ,10000人以上   ,30k-60k   ,发布于02月24日,3-5年
博彦科技       ,大专           ,计算机软件       ,已上市       ,北京 朝阳区 望京   ,Java           ,10000人以上   ,14k-18k   ,发布于02月26日,3-5年
文思海辉       ,本科           ,计算机软件       ,已上市       ,北京 海淀区 知春路  ,Java           ,10000人以上   ,10k-20k   ,发布于02月14日,3-5年
联想利泰       ,本科           ,移动互联网       ,已上市       ,北京 海淀区 五道口  ,java           ,1000-9999人 ,10k-12k   ,发布于02月21日,1-3年
弘毅知行       ,大专           ,互联网         ,未融资       ,北京          ,中级Java         ,100-499人   ,9k-14k    ,发布于10:33 ,3-5年
北京瑞友科技     ,大专           ,计算机软件       ,不需要融资     ,北京 海淀区 西北旺  ,Java           ,1000-9999人 ,10k-20k   ,发布于02月14日,3-5年
京东数字科技     ,本科           ,互联网         ,不需要融资     ,北京          ,java           ,1000-9999人 ,20k-25k   ,发布于02月26日,5-10年
每日优鲜       ,本科           ,电子商务        ,D轮及以上     ,北京 朝阳区 来广营  ,Java           ,1000-9999人 ,20k-40k   ,发布于12:38 ,3-5年
宇信科技       ,本科           ,计算机软件       ,已上市       ,北京 朝阳区 十里堡  ,java           ,1000-9999人 ,14k-19k   ,发布于02月21日,5-10年
多点Dmall    ,本科           ,互联网         ,B轮        ,北京 海淀区 中关村  ,java工程师        ,500-999人   ,20k-30k   ,发布于02月25日,5-10年
亚信科技       ,本科           ,计算机软件       ,未融资       ,北京 朝阳区 百子湾  ,Java           ,1000-9999人 ,10k-15k   ,发布于02月20日,3-5年
北京华宇信息     ,本科           ,计算机软件       ,已上市       ,北京 海淀区 清河   ,Java           ,1000-9999人 ,12k-20k   ,发布于02月20日,1-3年
建恒信安       ,大专           ,信息安全        ,未融资       ,北京 海淀区 上地   ,Java           ,100-499人   ,8k-10k    ,发布于09:50 ,1年以内
京东数字科技     ,本科           ,互联网         ,不需要融资     ,北京          ,Java工程师        ,1000-9999人 ,20k-40k   ,发布于昨天    ,3-5年
联龙博通       ,本科           ,计算机软件       ,已上市       ,北京 海淀区 西二旗  ,Java           ,1000-9999人 ,14k-20k   ,发布于02月21日,3-5年
掘金企服       ,大专           ,企业服务        ,不需要融资     ,北京 朝阳区 国贸   ,Java           ,1000-9999人 ,15k-20k   ,发布于02月17日,1-3年
北京柯莱特      ,大专           ,计算机软件       ,已上市       ,北京 海淀区 北太平庄 ,java           ,1000-9999人 ,15k-20k   ,发布于02月19日,3-5年
